"Программирование","Продление жизни временных значений в С++: рецепты и подводные камни","Прочитав эту статью вы узнаете: 1. Способы, которыми можно продлить время жизни временного объекта в С++. 2. Рекомендации и подводные камни этого механизма, с которыми может столкнуться С++ программист, и с которыми сталкивался на работе я. Информация из статьи может быть полезна как новичкам, так и профессионалам. Если заинтересовало, то самое время налить чая, и погнали разбираться где тут референсы повисли."
"Программирование","CI/CD для коммуникационной платформы Voximplant","Совсем недавно мы в Voximplant выпустили инструмент под названием VoxEngine CI. Для чего коммуникационной платформе нужна непрерывная интеграция и что можно сделать с её помощью, я расскажу в этой статье. Если коротко, будем заливать изменения в приложениях на платформу удалённо с максимальным удобством для разработчиков."
"Программирование","Как с помощью Python создать приложение для расшифровки речи в реальном времени","Научить ИИ разговаривать шёпотом — непростая задача даже сегодня. Но мы покажем, насколько простыми стали распознавание и транскрипция речи, по крайней мере, на поверхности. Интересно? Тогда добро пожаловать под кат."
"Linux","Променял Manjaro Linux KDE на рабочую станцию K от ALT Linux","Решил посмотреть, что из себя представляет рабочая станция от разработчиков Alt Linux. Естественно выбрал вариант с KDE. На тот момент на сайте была только рабочая станция 9.2. Настроил под себя и в целом остался доволен. Была проблема с win играми в Стиме не запускались на AMD и Intel графике 32 битные игры в Стиме и Порт Протоне. Со Стимом разобрались, Протон тоже должны пофиксить. Кроме этого косяка на моём железе проблем не выявлено."
"Linux","Апдейт, еще апдейт: представлен релиз ядра Linux 5.18","С момента выхода ядра Linux 5.17 прошло всего лишь около пары месяцев, и сейчас готов новый релиз, уже Linux 5.18. Несмотря на относительно небольшой временной промежуток между двумя релизами, изменений, дополнений и исправлений весьма солидное количество. Так, в новой версии насчитывается 16206 исправлений от 2127 разработчиков. Общий размер патча составляет 108 МБ, при этом изменениями были затронуты 14235 файлов, добавлено 1340982 строк кода, удалено 593836 строк. Подробнее о новом релизе — под катом."
"Linux","Linux и TinyСC в браузере","Несмотря на то, что Clang in Browser довольно впечатляет, большинство существующих браузерных компиляторов все же находятся в экспериментальной стадии. Я же в этом проекте вместо портирования компилятора в WASM собираюсь пойти своим излюбленным путем – задействовать виртуальные машины. Этот способ не такой уж быстрый, особенно ввиду использования мной JS-эмулятора ЦПУ, но при этом все же позволяет добиться отличной производительности с помощью шустрого компилятора вроде Tiny С Compiler и кастомизированного Linux."
"Машинное обучение","Как мы подходим к поддержке ML-моделей в синтезе речи","Всем привет! Меня зовут Александра Сорока, я занимаюсь синтезом речи в Тинькофф. А это — мой текст о том, зачем вообще думать о долгосрочной поддержке кода и ML-моделей. Я расскажу, почему мы отказались от опенсорсных решений, как работаем с датасетами и разными версиями моделей и как замеряем их качество. Статья может оказаться полезной для всех, кто хочет знать, как ничего не поломать."
"Машинное обучение", "Как с помощью Python создать полностью автоматизированную трейдинговую систему на базе ИИ","Можно ли с помощью ИИ автоматизировать набор правил, по которым действуют на бирже профессиональные трейдеры? Команда VK Cloud Solutions перевела статью о том, как это удалось реализовать и что вышло из такой затеи."
"Машинное обучение","20+ популярных опенсорсных датасетов для Computer Vision","ИИ в первую очередь развивается благодаря данным, а не коду. Это смелое заявление несколько лет назад могло показаться нелепым, но сегодня это не так. Однако, по-прежнему существует одна проблема: высокого качества данных обучения достичь иногда очень сложно. На поиск подходящего для задач компьютерного зрения массива данных могут потребоваться дни или недели. Но не стоит волноваться, в этой статье мы составили исчерпывающий список качественных массивов данных для компьютерного зрения в свободном доступе."
"Машинное обучение","Анализируем речь с помощью Python: Как и о чем говорят на YouTube-канале «вДудь»?","Выход практически каждого ролика на канале «вДудь» считается событием, а некоторые из этих релизов даже сопровождаются скандалами из-за неосторожных высказываний его гостей. Сегодня при помощи статистических подходов и алгоритмов ML мы будем анализировать прямую речь. В качестве данных используем интервью, которые журналист Юрий Дудь (признан иностранным агентом на территории РФ) берет для своего YouTube-канала. Посмотрим с помощью Python, о чем таком интересном говорили в интервью на канале «вДудь»."
"Гаджеты","Creative выпустила беспроводные наушники Zen Hybrid с активным шумоподавлением","Компания Creative Technology выпустила беспроводные наушники закрытого типа Creative Zen Hybrid с технологией активного шумоподавления. В каждом наушнике применяются микрофоны с прямой и обратной связью. В результате отфильтровывается до 95 % окружающего шума, что позволяет пользователям полностью погрузиться в прослушивание музыки или подкастов."
"Гаджеты","Смарт-часы Amazfit Bip 3 с 1,69-дюймовым экраном и поддержкой измерения уровня кислорода в крови оценены в $60","Amazfit анонсировал новые смарт-часы Bip 3, которые станут продолжением линейки доступных устройств бренда. Новинка имеет в оснащении большой прямоугольный дисплей, а также поддерживает функцию измерения уровня кислорода в крови."
